filename,caption
raive25-ai-model.jpg,Nigel Dubois and Frederik De Bleser working on the generative AI model
raive25-after-presentation.jpg,After-presentation discussion with audience and participants
raive25-audio-setup.jpg,Participants working on audio setup
raive25-giusy-workshop.jpg,Giusy Caruso leading a biosensing workshop
raive25-group-discussion.jpg,Group discussion in De Gele Zaal
raive25-group.jpg,Group picture of RAIVE '25 participants and coaches
raive25-performance-duo.jpg,Performance with biosensing technology
raive25-performance.jpg,Final presentation performance
raive25-piano-collaboration.jpg,Collaborative work at the piano
raive25-piano-work.jpg,Participants working at the piano
raive25-projection.jpg,Video projection during the final presentation
raive25-sharing.jpg,Participants sharing their work during a feedback session
raive25-umut-workshop.jpg,Umut Eldem leading a workshop
raive25-warmup.jpg,Warm-up session with participants
raive25-workshop-discussion.jpg,Workshop discussion
raive25-workshop-floor.jpg,Workshop discussion
